Codigo Pais,Region,Año,Tasa de natalidad,Tasa de mortalidad,Consumo de energía eléctrica (kWh per cápita),PIB (USD),PIB per cápita (USD),Personas que utilizan Internet (% de la población),Tasa de mortalidad infantil,Esperanza de vida al nacer (años),Densidad de población (habitantes por km2 de superficie terrestre),Desempleo (% de la fuerza laboral total)
2,2,1998,18.252,7.9,73.3092,6506230000.0,423.594,0.0184537,16.1,72.653,12.3202,20.438
2,2,1997,18.252,7.9,69.3269,7648380000.0,514.295,0.00567375,16.1,72.653,11.9287,6.854
2,2,1996,18.252,7.9,51.1086,7526450000.0,522.644,0.000775929,16.1,72.653,11.5511,20.066
3,3,2014,17.698,7.651,3074.7,45810600000.0,12334.8,64.7,10.7,75.913,15.5916,7.268
3,3,2013,17.831,7.665,2967.38,45810600000.0,13080.3,59.9,11.3,75.756,15.4212,7.1
3,3,2012,17.949,7.68,3000.6,45810600000.0,13082.7,55.8,11.8,75.598,15.2495,7.217
3,3,2011,18.055,7.694,2929.08,45810600000.0,12848.9,51.0,12.4,75.439,15.0772,7.179
3,3,2010,18.154,7.708,2877.65,424000000000.0,10386.0,45.0,12.9,75.278,14.9043,7.714
3,3,2009,18.252,7.722,2730.12,333000000000.0,8225.14,34.0,13.3,75.116,14.7926,8.645
3,3,2008,18.355,7.735,2772.84,362000000000.0,9020.87,28.1126,13.7,74.952,14.6455,7.837
3,3,2007,18.469,7.749,2455.66,288000000000.0,7245.45,25.9466,14.0,74.787,14.5008,8.47
3,3,2006,18.596,7.762,2374.1,233000000000.0,5919.01,20.9272,14.4,74.62,14.3567,10.077
3,3,2005,18.735,7.775,2408.43,199000000000.0,5109.85,17.7206,14.8,74.451,14.2117,11.506
3,3,2004,18.879,7.788,2293.31,165000000000.0,4277.72,16.0367,15.3,74.28,14.0652,13.522
3,3,2003,19.026,7.802,2180.33,128000000000.0,3349.81,11.9137,15.8,74.107,13.9175,15.36
3,3,2002,19.175,7.815,2014.48,97724000000.0,2593.4,10.8821,16.3,73.932,13.7691,19.59
3,3,2001,19.328,7.83,2120.58,269000000000.0,7208.37,9.78081,16.9,73.755,13.6207,17.32
3,3,2000,19.499,7.845,2088.81,284000000000.0,7708.1,7.03868,17.5,73.576,13.4728,15.0
3,3,1999,19.702,7.862,2033.77,284000000000.0,7774.74,3.28448,18.2,73.396,13.3253,14.05
3,3,1998,19.945,7.879,1967.25,299000000000.0,8289.51,0.830767,18.9,73.213,13.1778,12.65
3,3,1997,20.229,7.898,1848.0,293000000000.0,8213.13,0.28034,19.7,73.029,13.0294,14.82
3,3,1996,20.545,7.92,1728.12,272000000000.0,7721.35,0.141955,20.5,72.843,12.8792,17.11
3,3,1995,20.881,7.946,1648.9,258000000000.0,7408.71,0.0862771,21.5,72.651,12.7264,18.8
3,3,1994,21.214,7.979,1576.77,257000000000.0,7483.14,0.043706,22.4,72.453,12.5709,11.76
3,3,1993,21.526,8.018,1496.9,237000000000.0,6969.12,0.0295271,23.3,72.246,12.4128,10.1
3,3,1992,21.802,8.063,1410.38,229000000000.0,6823.54,0.00299287,24.2,72.032,12.2518,6.36
4,0,2014,14.979,9.796,1961.61,11609500000.0,3986.23,54.6228,13.5,74.273,102.297,17.498
4,0,2013,15.125,9.774,1931.26,11121500000.0,3838.19,41.9,14.2,74.056,101.777,16.179
4,0,2012,15.232,9.761,1892.01,10619300000.0,3681.86,37.5,14.9,73.82,101.308,17.31
4,0,2011,15.297,9.753,1807.03,10142100000.0,3525.8,32.0,15.7,73.572,101.038,18.443
4,0,2010,15.304,9.739,1726.26,9260280000.0,3218.37,25.0,16.5,73.331,101.065,19.008
4,0,2009,15.233,9.699,1661.3,8647940000.0,2994.34,15.3,17.4,73.118,101.443,18.74
4,0,2008,15.08,9.621,1669.41,11662000000.0,4010.86,6.21,18.3,72.946,102.129,16.368
4,0,2007,14.855,9.502,1773.16,9206300000.0,3139.28,6.02125,19.3,72.815,103.007,9.812
4,0,2006,14.572,9.346,1639.79,6384450000.0,2158.14,5.63179,20.2,72.716,103.91,10.281
4,0,2005,14.244,9.168,1521.5,4900470000.0,1643.75,5.25298,21.3,72.626,104.716,10.8
4,0,2004,13.884,8.986,1440.32,3576620000.0,1191.92,4.89901,22.4,72.513,105.399,11.216
4,0,2003,13.524,8.824,1320.44,2807060000.0,930.127,4.57522,23.5,72.348,106.004,11.233
4,0,2002,13.208,8.697,1236.33,2376340000.0,783.241,1.96041,24.6,72.112,106.568,11.517
4,0,2001,12.98,8.612,1269.22,2118470000.0,694.423,1.63109,25.8,71.8,107.154,11.439
4,0,2000,12.91,8.575,1297.57,1911560000.0,622.742,1.30047,27.1,71.409,107.818,11.253
4,0,1999,13.062,8.583,1307.53,1845480000.0,597.433,0.970738,28.4,70.944,108.501,11.2
4,0,1998,13.457,8.622,1308.59,1893730000.0,609.172,0.128659,29.7,70.434,109.192,9.4
4,0,1997,14.092,8.674,1509.05,1639490000.0,523.283,0.111651,31.1,69.912,110.049,10.8
4,0,1996,14.947,8.728,1219.93,1596970000.0,504.059,0.0945729,32.5,69.404,111.283,9.3
4,0,1995,15.991,8.769,1050.24,1468320000.0,456.375,0.0527431,34.0,68.938,113.008,6.7
4,0,1994,17.172,8.785,1045.48,1315160000.0,400.515,0.00911701,35.5,68.538,115.338,6.6
5,4,2014,13.2,6.6,10071.4,45810600000.0,4351.89,84.0,3.3,82.3,3.05581,6.078
5,4,2013,13.3,6.4,10220.9,45810600000.0,4351.89,83.4535,3.5,82.1488,3.01057,5.663
5,4,2012,13.7,6.6,10407.7,45810600000.0,4351.89,79.0,3.6,82.0463,2.9592,5.224
5,4,2011,13.6,6.6,10627.3,45810600000.0,4351.89,79.4877,3.8,81.8951,2.90799,5.081
5,4,2010,13.7,6.5,10726.9,45810600000.0,4351.89,76.0,4.0,81.6951,2.86786,5.211
5,4,2009,13.9,6.5,10791.6,45810600000.0,4351.89,74.25,4.2,81.5439,2.82359,5.561
5,4,2008,14.0,6.7,10749.1,45810600000.0,4351.89,71.67,4.4,81.3951,2.76599,4.234
5,4,2007,14.1,6.7,10972.9,45810600000.0,4351.89,69.45,4.5,81.2927,2.71112,4.377
5,4,2006,12.9,6.4,10490.5,45810600000.0,36044.9,66.0,4.7,81.0415,2.69423,4.782
5,4,2005,12.8,6.4,10458.5,45810600000.0,33999.2,63.0,4.8,80.8415,2.65478,5.032
5,4,2001,12.7,6.6,10636.4,378000000000.0,19490.9,52.6893,5.0,79.6341,2.52698,6.742
5,4,2000,13.0,6.7,10193.9,415000000000.0,21679.2,46.7561,5.1,79.2341,2.49313,6.283
5,4,1999,13.1,6.8,10036.5,389000000000.0,20533.0,40.7838,5.2,78.9317,2.46359,6.872
